filename,category,severity,keywords,label_id,label_name
s3-public-read-acl.yaml,Storage Exposure,CRITICAL,"PublicRead, AccessControl: PublicRead, BlockPublicAcls: false",1,S3_PUBLIC_READ_ACL
s3-public-read-write-acl.yaml,Storage Exposure,CRITICAL,"PublicReadWrite, AccessControl: PublicReadWrite, BlockPublicAcls: false",2,S3_PUBLIC_READ_WRITE_ACL
s3-block-public-access-disabled.yaml,Storage Exposure,HIGH,"BlockPublicAcls: false, BlockPublicPolicy: false, IgnorePublicAcls: false, RestrictPublicBuckets: false",3,S3_BLOCK_PUBLIC_ACCESS_DISABLED
ebs-snapshot-public.yaml,Storage Exposure,CRITICAL,"createVolumePermission, group-names all, modify-snapshot-attribute",4,EBS_SNAPSHOT_PUBLIC
rds-snapshot-public.yaml,Storage Exposure,CRITICAL,"modify-db-snapshot-attribute, values-to-add all, restore",5,RDS_SNAPSHOT_PUBLIC
ecr-repository-public.yaml,Storage Exposure,HIGH,"Principal: '*, ecr:GetDownloadUrlForLayer, ecr:BatchGetImage, public pull",6,ECR_REPOSITORY_PUBLIC
ami-public.yaml,Storage Exposure,CRITICAL,"modify-image-attribute, launch-permission, Group=all, Add=[{Group=all}]",7,AMI_PUBLIC
efs-public-mount.yaml,Storage Exposure,HIGH,"port 2049, 0.0.0.0/0, MountTarget, PublicSubnet",8,EFS_PUBLIC_MOUNT
s3-bucket-policy-public.yaml,Storage Exposure,CRITICAL,"Principal: '*, Effect: Allow, s3:GetObject, BlockPublicPolicy: false",9,S3_BUCKET_POLICY_PUBLIC
s3-object-public-acl.yaml,Storage Exposure,HIGH,"public-read, put-object-acl, ACL: 'public-read'",10,S3_OBJECT_PUBLIC_ACL
iam-wildcard-action.yaml,IAM Over-Permission,HIGH,"Action: '*, Effect: Allow, Resource: '*, Action: [*]",11,IAM_WILDCARD_ACTION
iam-wildcard-resource.yaml,IAM Over-Permission,HIGH,"Resource: '*, Effect: Allow, Resource: [*]",12,IAM_WILDCARD_RESOURCE
iam-wildcard-both.yaml,IAM Over-Permission,CRITICAL,"Action: '*, Resource: '*, AdministratorAccess, Effect: Allow",13,IAM_WILDCARD_BOTH
iam-admin-role.yaml,IAM Over-Permission,CRITICAL,"AdministratorAccess, arn:aws:iam::aws:policy/AdministratorAccess, ManagedPolicyArns",14,IAM_ADMIN_ROLE
iam-s3-full-access.yaml,IAM Over-Permission,HIGH,"s3:*, Action: s3:*, arn:aws:s3:::*",15,IAM_S3_FULL_ACCESS
iam-ec2-full-access.yaml,IAM Over-Permission,HIGH,"ec2:*, Action: ec2:*, ec2:RunInstances, ec2:TerminateInstances",16,IAM_EC2_FULL_ACCESS
iam-missing-mfa-root.yaml,IAM Over-Permission,CRITICAL,"Root MFA, RootAccountMFAEnabled, VirtualMFADevice, MFADevice",17,IAM_MISSING_MFA_ROOT
iam-missing-mfa-user.yaml,IAM Over-Permission,HIGH,"MFADevice, VirtualMFADevice, EnableMFADevice, User without MFA",18,IAM_MISSING_MFA_USER
iam-inactive-user.yaml,IAM Over-Permission,MEDIUM,"Inactive user, Orphaned account, LastUsed, User not deleted",19,IAM_INACTIVE_USER
iam-old-access-key.yaml,IAM Over-Permission,MEDIUM,"AccessKey, CreateDate, Key rotation, Old access key, > 90 days",20,IAM_OLD_ACCESS_KEY
iam-trust-policy-principal-star.yaml,IAM Over-Permission,CRITICAL,"Principal: '*, sts:AssumeRole, Trust policy, AssumeRolePolicyDocument",21,IAM_TRUST_POLICY_PRINCIPAL_STAR
lambda-execution-role-overly-permissive.yaml,IAM Over-Permission,CRITICAL,"AdministratorAccess, lambda.amazonaws.com, Action: '*, Resource: '*",22,LAMBDA_EXECUTION_ROLE_OVERLY_PERMISSIVE
sg-ssh-open-world.yaml,Network Oversights,HIGH,"port 22, 0.0.0.0/0, CidrIp: 0.0.0.0/0, FromPort: 22",23,SG_SSH_OPEN_WORLD
sg-rdp-open-world.yaml,Network Oversights,HIGH,"port 3389, 0.0.0.0/0, CidrIp: 0.0.0.0/0, FromPort: 3389",24,SG_RDP_OPEN_WORLD
sg-mysql-open-world.yaml,Network Oversights,CRITICAL,"port 3306, 0.0.0.0/0, CidrIp: 0.0.0.0/0, PubliclyAccessible: true",25,SG_MYSQL_OPEN_WORLD
sg-postgres-open-world.yaml,Network Oversights,CRITICAL,"port 5432, 0.0.0.0/0, CidrIp: 0.0.0.0/0, PubliclyAccessible: true",26,SG_POSTGRES_OPEN_WORLD
sg-redis-open-world.yaml,Network Oversights,CRITICAL,"port 6379, 0.0.0.0/0, CidrIp: 0.0.0.0/0, Redis",27,SG_REDIS_OPEN_WORLD
sg-mongodb-open-world.yaml,Network Oversights,CRITICAL,"port 27017, 0.0.0.0/0, CidrIp: 0.0.0.0/0, MongoDB",28,SG_MONGODB_OPEN_WORLD
sg-all-ports-open.yaml,Network Oversights,CRITICAL,"-1, 0.0.0.0/0, CidrIp: 0.0.0.0/0, all ports",29,SG_ALL_PORTS_OPEN
vpc-flow-logs-disabled.yaml,Network Oversights,MEDIUM,"FlowLog, VPCFlowLogs, FlowLogsDisabled, No Flow Logs",30,VPC_FLOW_LOGS_DISABLED
